type	typeName	facet	quality_score	quality_max	quality_level	title	content
F	Finding		5	5	strong	Buffering listed as wire/L1 primitive contradicts AMS D0016	klappy.dev canon (substrate-stack L1 description and symmetric-participation primitives list) included buffering as a wire/L1 substrate primitive. AMS D0016 (stable, irreversible, Tier-1) is explicit: "keep the layer in the wrapper tier per D0006, never in the wire." Three docs misaligned: canon/principles/agents-need-their-own-wire (this PR's new principle, inherited the drift), canon/principles/symmetric-participation, canon/architecture/substrate-stack. Disposition: fix all three. The drift was caught by reviewing the new principle against AMS canon — operator validation that tooled checks did not surface. The recursive observation: this PR's new principle was authored under collapsed governance-creation override, which is exactly the failure mode where inherited handoff drift propagates because the encoder did not pause to verify upstream claims against authoritative tier-below canon.
F	Finding		5	5	strong	Direct addressability framing implied an inbox model AMS rejects	The new principle's first property was "direct addressability between agents." This implied a unicast push-to-inbox model. AMS rejects that model entirely per D0003: "AMS lets you own your output stream and others choose to listen. There is no inbox to clutter because there is no push surface for writers to push into; there are only streams that subscribers attach to." Operator surfaced this as the most concerning finding because the inbox-vs-subscription distinction is also AMS's security model — spam cannot accumulate against a peer because there is no push surface. Disposition: reframe property 1 to "stable identity on the wire AND opt-in reception by subscription, not delivery to an inbox." Borrow D0003's inverted-inbox language directly.
D	Decision		5	5	strong	Wire-unit terminology — keep abstraction at klappy.dev altitude but describe AMS mechanism explicitly	Operator's framing on token vs frame: "Abstract it but describe the method of AMS testing this at token primitive and borrow language. Either way the point is to let machines invent their own communication and adapt over time without substrate changes. Tokens is what they speak. It's arbitrary and undefined what a token is. On purpose." Disposition: keep "frame" usable at klappy.dev altitude as the cross-altitude term for the wire's transport unit, but add an explicit passage in the principle that names AMS's wire unit (token), describes why it is deliberately undefined (machines invent their own communication formats and evolve them without substrate revisions), and borrows D0001's language verbatim where it matters ("opaque bytes, deliberately undefined in shape and meaning, exactly the unit agents already produce"). The token's arbitrariness IS the adaptation mechanism — that is the argument worth surfacing.
D	Decision		5	5	strong	Wire opacity enables agent-shaped content; the wire does not carry it as a property	The new principle had said "frames carry agent-shaped content" — implying the wire is content-aware. Per D0001, the wire is opaque and does not parse, validate, schema, or interpret content. Agent-shaped content is enabled by wire opacity, not a wire property. Disposition: reframe property 3 to "Wire opacity enables agent-shaped content." Subscribers compose any envelope on top — D0001 explicitly enumerates "message, frame, chunk, control signal" as the kinds of envelopes that can be composed above tokens.
L	Learning		5	5	strong	"Stable identity" at principle altitude tolerates D0028 transient-account nuance	D0028 distinguishes persistent accounts from transient anon accounts (Door-1-only synthesis with deterministic regeneration). At principle altitude "stable identity" is acceptable shorthand for "deterministic and reproducible." Operator: "Ideal vs edge cases." Accept at principle altitude; AMS canon documents the implementation nuance.
L	Learning		5	5	strong	Operator validation surfaces drift that tooled validation does not	Three drift findings (buffering as wire primitive, frame vs token, addressability implies inbox) were surfaced by the operator's request to validate the new principle against AMS canon. None had been caught by tooled checks during initial drafting. The pattern is consistent with prior catches (Linux/layer-separation framing, TinCan-as-brand category error). Tooled validation reliably catches structural and reference issues; operator-as-validator catches framing, semantic, and inherited-drift issues. Implication for handoff norms: encode-then-spawn-fresh-validator-session with explicit tier-below cross-references would have caught these earlier. The override pattern that produced this canon set has a known cost; this audit pass is one form of recovery.
H	Handoff		5	5	strong	PR #189 amended with three-doc AMS-alignment correction pass	Branch claude/wire-principle-and-conversations-c5ab amended with: (1) canon/principles/agents-need-their-own-wire — buffering removed from primitives list; tokens-as-wire-unit passage added with D0001 borrowed language; addressability reframed to opt-in subscription with D0003 inverted-inbox language; "frames carry content" rewritten to "wire opacity enables content"; outline updated; See Also adds D0001/D0003/D0009/D0016. (2) canon/principles/symmetric-participation — buffering removed from primitives list; pointer to D0016 added; date bumped 2026-05-09 → 2026-05-10. (3) canon/architecture/substrate-stack — buffering removed from L1 primitives list; explicit "buffering and persistence are NOT wire primitives" sentence added pointing at D0016; derives_from extended with D0016; date bumped 2026-05-09 → 2026-05-10. Three findings disposed (fix); two accepted at principle altitude.
F	Finding		5	5	strong	Reductive removal of buffering from primitives lists left the architectural pattern unaddressed	Operator catch on the alignment pass: dropping buffering from the wire-primitives list and replacing with a one-line 'see D0016' pointer corrected the misalignment but failed to address the architectural reality. Buffering is required for most production multi-agent use cases — resumability after network blips, late-joiner catchup, multi-viewer fan-out, refresh-survives-disconnect, model-adapter discontinuity recovery. Saying 'see D0016' leaves the reader thinking buffering does not matter; saying 'wrapper-tier primitive built once and reused across every wrapper class' explains why the substrate as a whole satisfies real-world needs without the wire calcifying. Removal is correction; placement is canon.
D	Decision		5	5	strong	Buffering placed as worked example of wrapper-tier-primitive pattern across all three docs	All three docs (agents-need-their-own-wire, symmetric-participation, substrate-stack) updated to address buffering substantively rather than reductively. The principle gains a new sub-section 'What the Wire Refuses to Own — and How AMS Provides It Instead' that names the use cases (resumability, late-joiner catchup, multi-viewer fan-out, refresh-survives-disconnect, model-adapter discontinuity recovery), names the production stacks already rebuilding this layer (Anthropic Messages clients, Convex, Vercel AI SDK, every chat product surviving a browser reload), borrows D0016's StreamBufferDO + TTL + size + account-gating description, and generalizes the pattern across observability (D0010), session continuity (D0019), and metadata-as-discontinuity-announcement. Symmetric-participation gets a parallel paragraph that names buffering as the worked example and explains the wrapper-tier-primitive pattern that protects wire symmetry. Substrate-stack L1 expands the buffering note into a full paragraph naming the use cases and the build-once-reuse pattern; L2 gains a new paragraph about shared wrapper-tier primitives with buffering as the reference example, session re-keying as a sibling, archival subscribers as a separate sibling per PATTERNS.md §3.
L	Learning		5	5	strong	Removal is not the same as placement	Two failures of governance fix-it work both produce misaligned canon: (1) listing something where it does not belong (original drift); (2) removing it without explaining where it does belong (the reductive fix). Both leave the reader unable to act correctly. The right pattern is what D0016 itself does: name the concern, name the use cases that justify it, place it in the architecture, explain the pattern that protects the boundary. Operator caught this with a one-line correction that produced ~30 lines of substantive doc edits across three files. The recursive observation: this is the same failure mode as the original drift — the encoder did not pause to verify the surrounding context (in this case, what work the original list was doing and what removing it would leave undone). Verification requires fresh context applied to fixes too, not just to original work.
H	Handoff		5	5	strong	PR #189 amended again with substantive buffering placement across three docs	Branch claude/wire-principle-and-conversations-c5ab amended with: (1) canon/principles/agents-need-their-own-wire — new sub-section 'What the Wire Refuses to Own — and How AMS Provides It Instead' inside AMS-as-Worked-Reference; lists production use cases, borrows D0016 framing for StreamBufferDO + TTL + size + account-gating, generalizes pattern across observability + session continuity + metadata-discontinuity. (2) canon/principles/symmetric-participation — primitives paragraph extended with substantive 'what the wire refuses to own, the layers above it provide' framing; buffering as worked example with use cases named. (3) canon/architecture/substrate-stack — L1 buffering note expanded from one-liner to paragraph naming use cases and build-once-reuse pattern; new L2 paragraph about shared wrapper-tier primitives with buffering as reference, session re-keying as sibling, archival as separate composable subscriber. Three docs now address what is required for most use cases AND where in the layering it lives, not just what the wire does not own.
