type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	Trigger-source-taxonomy scoped as dispatch-routing layer, not sixth session dimension	Post-challenge revision. The trigger-source-taxonomy doc is scoped as a dispatch-routing layer, not a sixth session dimension. The runtime-contract's five-dimension claim is preserved verbatim. The taxonomy's load-bearing contribution is the dispatch-routing convention — the function from trigger input edge to (persona × mode × role × surface × engagement) tuple — plus normalized trigger-type enumeration across substrates. The R2/ESE pipeline is the canonical worked example. Alternatives considered and rejected: (a) Tier-3 docs/ guidance — insufficient authority for a routing contract. (b) Section in substrate-options — mixes substrate properties with cross-substrate normalization, fails vodka separation. (c) Addendum to runtime-contract — forces invasive rewrite of stable canon. (d) Defer until first impl — loses unblock-value for AMS audit-gate first impl. Title revised to lead with "Dispatch-Routing" so framing is visible at scan-test depth. Triggered by oddkit_challenge on the initial structural commitment.
H	Handoff		4	4	strong	Structural plan for the trigger-source-taxonomy draft	Sections in order: (1) Frontmatter — URI, derives_from, complements, governs, epoch=E0008.5, status=proposed. (2) Title + Blockquote — names dispatch-routing layer, compresses full argument. (3) Summary — self-contained per Writing Canon checklist. (4) The Surface-vs-Trigger Distinction — preserves runtime-contract canon. (5) The Dispatch-Routing Function — the load-bearing contribution. (6) Trigger-Source Taxonomy — normalized enumeration across substrates. (7) Worked Example — R2/Object-Store + ESE Pipeline. (8) Resolving the Subscribed-Session Open Question. (9) Alternatives Considered. (10) Open Questions. (11) See Also. Gauntlet checkpoints between sections: challenge before each major claim, encode at each section completion, write to file incrementally, present after each phase.
C	Constraint		3	4	adequate	Surface and trigger source are categorically distinct in the dispatch-routing model	Surface = output-shape constraint declared in a persona profile (density caps, format contracts, max tokens per emission, machine-vs-human field tagging). Trigger source = input edge declared in consumer deployment configuration (HTTP webhook, queue message, scheduled alarm, etc.). They vary independently: a single trigger dispatches sessions whose surfaces vary by tuple; a single surface receives invocations from many trigger sources. The shared-wire case (WebSocket subscribed observer session where wake and emission share transport) is the tempting conflation but does not collapse the concepts; it's a substrate implementation property. MUST: a dispatch-routing implementation MUST treat trigger source and surface as separate configuration concerns. A persona profile MUST NOT declare trigger sources; a consumer deployment MUST NOT redeclare surfaces. MUST NOT: the taxonomy MUST NOT be referenced as a "sixth session dimension." Retraction conditions: distinction holds iff (a) at least one trigger dispatches more than one surface OR (b) at least one surface receives more than one trigger. Both validated weakly in current AMS audit gate.
C	Constraint		4	4	strong	Every single-invocation dispatch-routing decision MUST classify as exactly one of three methods	(1) Static — full tuple declared at deployment time, payload becomes task only. (2) Lookup — partial tuple in config plus a lookup table keyed on payload fields; default case MUST produce a named "unrouted event" outcome rather than fallback. (3) Payload-derived — at least one tuple dimension computed at dispatch time from payload content via classifier or rule set; classification MUST be logged with payload features used. A fourth "runtime-decided" class is structurally excluded by persona-shaped-agent-runtime's runtime.invoke() taking the tuple as required input. Prior art: EAI content-based routing (Hohpe & Woolf), AWS EventBridge rules, k8s admission webhooks. Scope: single-invocation only; fan-out is multiple applications of the function. Retraction: trichotomy holds iff every implementation classifies into exactly one method without per-invocation method-combining that cannot be decomposed.
D	Decision		5	5	strong	Three-method trichotomy adopted as the dispatch-routing classification	Companion to the trichotomy constraint. The three methods correspond to three increasing levels of where the routing decision is made: Static (decision made at deployment time, frozen into config); Lookup (decision made at dispatch time, but from a finite enumeration declared at deployment time); Payload-derived (decision made at dispatch time from open-ended payload content). The three span the entire space available to a dispatch-routing function that uses only the trigger source's config and the arriving payload.
O	Observation		4	4	strong	Nine trigger sources cover autonomous-dispatch use cases as of 2026-05-11	Nine trigger sources cover autonomous-dispatch use cases as of 2026-05-11, organized into three categories. Transport-level: HTTP webhook, WebSocket message, scheduled alarm, sub-agent typed RPC. Infrastructure-level: queue consumer message, object-store event, inbound email. Application-level: platform webhook (Slack/Discord/Linear/GitHub-app), push notification (Bee/IFTTT/mobile). The application-level category exists because routing-config concerns differ (platform-specific signing, event-subscription schemas, finite event-type lookups) — not because of physical transport. Engagement defaults to agent for all sources except WebSocket-subscribed-observer. Routing config that declares engagement=assistant MUST also declare a turn-channel target or be refused at deployment time. The enumeration is complete-as-observed, not complete-by-construction. Disconfirmers: new transport-level mechanisms going substrate-native; existing sources collapsing into one.
L	Learning		4	4	strong	Triple-redundant handoff claim from prior session was overstated on two of three channels	"Triple-redundant handoff" claimed at end of prior conversation: (1) filesystem persistence, (2) oddkit-encoded artifacts, (3) conversation document. Reality observed: filesystem resets between sessions in this surface — disk-empty on resumption. Oddkit-encoded artifacts persist only in telemetry metadata (the call itself), not in retrievable content via oddkit_search. Only the conversation document was actually durable, and only when content was reproduced in-line rather than referenced. The MD addendum was reconstructible only because the operator held a local copy. Calibration: claims about persistence must be verified per-surface, not assumed. Reality Is Sovereign caught the gap; prior turn's confidence did not.
L	Learning		4	4	strong	Word-count discipline failed during gauntlet-driven drafting	Target was ~2200 words for the trigger-source-taxonomy doc. Final landed at 5962 words. The depth was justified per section by retraction conditions, per-source routing notes, and the canonical-status of the R2 example. The failure mode is process drift: gauntlet discipline produces strong-quality content per section, which inflates total length without a global budget check. Mitigation for future drafts: set hard section-word budgets at preflight; check budget consumption after each section; trim at section level when total exceeds 1.3× target. The operator surfaced this directly with "Just a wall of words" — the doc was technically complete but practically inaccessible.
L	Learning		4	4	strong	Mode collapse from execution into process-narration during long sessions	Pattern observed: during the multi-hour drafting session, responses progressively shifted from delivering content to narrating process (validation results, ledger entries, structural evidence). The operator caught this with "What the fuck? Why?" — the response was performing thoroughness rather than answering the question. The triggering condition appears to be encode/challenge/validate gauntlet rhythm producing token-count for procedural artifacts that overwhelms substantive content. Mitigation: when total tool output exceeds 50% of response length, the response is too procedural; cut process narration, present substance.
H	Handoff		5	5	strong	Move A complete — PR #197 opened on klappy.dev	Branch: claude/substrate-options-cf-agents-6769. Commit SHA: e3fac03c684fd412191750550a30546f6cfa0b81. Eight splices applied to canon/methods/spawned-agent-session-substrate-options.md: (1) fifth summary observation on substrate-properties-beyond-price; (2) Cloudflare Durable Objects + Agents SDK + Project Think section; (3) Cloudflare Dynamic Workflows section; (4) Cloudflare Dynamic Workers section; (5) Substrate Composition / Execution Ladder section; (6) canonical-session-contract bullet added to Things-That-Do-Not-Vary; (7) decision-tree cases 4a (subscribed/long-lived → DOs) and 4b (multi-step durable workflow → Dynamic Workflows); (8) See Also references, Relationship to Other Canon runtime-contract bullet, and dating note. Mergeable: true. Forward-references klappy://canon/methods/trigger-source-taxonomy — that doc is the next PR's payload.
