type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	Abstract ODD/oddkit out of klappy.dev rather than reorganize the whole repo	Goal locked: let non-klappy users (Tim, Ian, others) adopt oddkit without inheriting klappy's voice, story, or software framing, and without disrupting klappy.dev (the daily driver). Approach is extraction of a universal core, not full reorganization.
O	Observation		5	5	strong	oddkit is already a separate repo; klappy.dev is the knowledge base the Worker reads	README states klappy/oddkit is the engine and klappy.dev is 'the fuel'; the Worker fetches canon from raw.githubusercontent.com/klappy/klappy.dev/main at runtime. So the bifurcation is about splitting the knowledge base, and the engine is already gone.
O	Observation		4	5	medium	Full tree: 769 files, ~24MB; 16.8MB apocrypha PDF and 152 dead-infra files dominate weight	canon/apocrypha PDF is ~70% of repo bytes. docs/archive holds 152 files of a previous website/compile/attempt pipeline plus product experiments. The catalog index was ~6 weeks stale and omitted recent canon/methods files; the git tree is the source of truth.
L	Learning		5	5	strong	The split is file-level, not folder-level: law and case-files interleave inside canon folders	Inside canon/constraints, canon/methods, canon/principles, the universal rule and klappy's working-out of that rule sit side by side. This is why detangling felt hard. Whole-folder moves would either over-ship or leak proprietary R&D.
C	Constraint		5	5	strong	Primary constraint is serving non-klappy users; secondary is protecting proprietary	PRIMARY: minimal, universal, un-opinionated governance usable without software-development focus, for Tim/Ian/others. SECONDARY: keep proprietary methodology R&D, voice, story, and substrate strategy out of the public core. Inclusion test: a file is core only if a non-klappy user needs it to understand ODD, bootstrap oddkit against their own repo, and have governance function.
D	Decision		5	5	strong	Destinations: outcomes-driven-development (core), oddkit (tool), klappy.dev (overlay); privacy deferred	New public repo outcomes-driven-development holds core governance/canon; oddkit absorbs docs/oddkit and tool governance; klappy.dev stays public as the personal overlay and demonstration. Core must not depend on overlay; cross-links allowed and may dead-end. Ship public now; privatize later if oddkit gains private-repo support.
D	Decision		4	5	medium	Punt the DEAD bucket: docs/archive and the apocrypha PDF stay archived, untouched	Operator: 'Let's punt on Dead. I like the idea, it's an extension of the archive I started.' The old infra graveyard and the PDF remain in klappy.dev; no effort spent moving them.
O	Observation	gate	5	5	strong	Gate exploration->planning PASSED (problem_defined + constraints_reviewed)	First gate returned NOT_READY: problem statement undefined. After the operator named the primary constraint (serve Tim/Ian without software focus) and the disposition of the ambiguous piles, the re-run gate PASSED 2/2.
O	Observation		5	5	strong	Full classification produced: 139 core / 104 tool / 371 personal / 155 archived of 769 files	Built from the live git tree (not the stale catalog) using frontmatter audience/tags/governs/derives_from plus titles. Manifest enumerates the movers and summarizes the stays; 29 files flagged as genuine judgment calls plus three cross-cutting forks.
L	Learning	domain-applicability	5	5	strong	'Development' in ODD is a vertical label; the universal layer is the epistemic kernel	The domain-applicability test: only what works for ANY AI use is truly universal. canon/principles/kiss-simplicity-is-the-ceiling proves it — the same ten oddkit actions serve a 400+-doc software canon and a 26-doc oral-theology corpus unchanged. ODD's substance is universal dressed in software vocabulary; the genuinely dev-only residue is thin (odd-compared, PoC/Pilot/Prod naming).
