type	typeName	facet	quality_score	quality_max	quality_level	title	content
D	Decision		5	5	strong	Audit migration generalizes one layer up to a generic spawned-agent-session runtime	The work originally scoped as "migrate the audit gate from Managed Agents to CF Sandboxes" generalizes to a generic spawned-agent-session runtime — a sibling vodka-architecture substrate to AMS. AMS is the wire (pub-sub messaging between agents); the runtime is the execution surface (one-shot or subscribed agent sessions on demand). Both are opinion-free. Both compose without either knowing about the other. The audit gate becomes one consumer; many consumers follow without infrastructure work per participation-replaces-integration. Operator named the generalization in one line ("can't we abstract the prompt to outside to make this reusable substrate for anything we do?"); architectural shape was sitting one inference away from where Claude initially stopped.
D	Decision		5	5	strong	The runtime contract is parameterized by five orthogonal dimensions	A spawned-agent-session is fully characterized by five orthogonal fields: persona (voice + methodology + capability sources), mode (exploration/planning/execution/validation), role (detection-only/resolver/general), surface (real-time/audit/mentorship/sidebar-chat/etc.), and engagement (assistant/agent). These do not collapse into each other. Same persona at different (mode, role, surface, engagement) combinations is a different session. Oddie at TinCan stream-annotation (validation, detection-only, real-time-stream, agent) and Oddie at TinCan sidebar-chat (validation, detection-only, sidebar-chat, assistant) are two sessions sharing only persona.
D	Decision		5	5	strong	Engagement (assistant vs agent) is the dimension that determines bottleneck-respect contract	Assistant engagement = turn-based dialogue with caller; clarifying questions valid; session yields turn-control; multi-turn state preserved. Agent engagement = run-to-completion autonomy; clarifying questions forbidden per bottleneck-respect canon; failure terminates with named reason. The bottleneck (caller's attention) consents differently in each case, which is what changes the contract. This dimension absorbs ambiguity that previously required deriving "should this agent ask?" from mode alone.
D	Decision		5	5	strong	The runtime mechanizes existing canon rather than adding governance	The new runtime contract does not invent governance. It operationalizes mode discipline (klappy://canon/epistemic-modes), critic-cannot-be-resolver (klappy://canon/constraints/critic-cannot-be-resolver), bottleneck respect (klappy://canon/constraints/mode-discipline-and-bottleneck-respect), voice canon (klappy://canon/voice/oddie-the-river-guide), and brand discipline (Oddie voice canon §Brand Guide) for any agent that opts in. The canon already explicitly licenses this in epistemic-modes' Scope section: "Tools, processes, and workflows may encode or enforce these modes, but they do not define them."
O	Observation		5	5	strong	Each canonical mode maps cleanly to runtime mechanics (tool allow-list, output schema, transition rules, risk detector)	Exploration: read-heavy tools, outputs tagged question/possibility/tension/frame, false-closure detector. Planning: read + draft-write-to-scratch, outputs require assumptions/deferrals/invalidation conditions, speculative-certainty detector. Execution: full tool set locked at session start, outputs are artifacts plus assertion/reversion classifications, metric-laundering detector, no clarifying questions for agent engagement. Validation: read-only on artifact-under-test, fresh-context required (refuse same-session execution-to-validation transition), findings carry fix/pivot/accept disposition, scope-creep detector. The six canonical mode-collapse anti-patterns map directly to runtime classifiers.
O	Observation		5	5	strong	Brand discipline is mechanically enforceable at the runtime layer	Oddie's voice canon (klappy://canon/voice/oddie-the-river-guide §Brand Guide) names an absolute ban on persona emoji on machine surfaces (JSON, YAML, code, status titles, URIs, commits, file paths). The runtime can enforce by tagging output fields machine vs human and post-processing accordingly. Mode toggle (persona/neutral/strict) controls suppression. Functional status emoji (✅⚠️🔴⏳🟡) survive across modes per canon — they are information not character. This converts brand discipline from prompt-following to architectural guarantee.
O	Observation		5	5	strong	Critic-cannot-be-resolver is structurally enforceable, not just disciplinary	The constraint (klappy://canon/constraints/critic-cannot-be-resolver) maps to a runtime feature: detection-only sessions filter mutating tools out of the allow-list at submit time. Filesystem writes, git commit, mutating API calls, gh pr merge are refused regardless of prompt content. Same-session transitions from detection to remediation are refused; resolution requires a fresh session that receives the finding as input but not the detector's reasoning. This is canon as code, not canon as discipline.
O	Observation		5	5	strong	Oddie's existing canon already specifies a persona-profile shape that any reusable runtime must support	Voice canon plus TinCan integration spec together specify: system prompt URI, two capability sources (oddkit MCP + klappy.dev knowledge base, where oddkit is operational not task-relevant — Oddie uses oddkit on himself for self-hygiene), role declaration (detection-only), four named surfaces with distinct density/pace/verbosity tolerances, voice register, brand discipline, retraction conditions. That is enough structure to be its own canon shape: a persona profile is a declarative bundle the runtime resolves to operational configuration.
O	Observation		5	5	strong	Anthropic ships official subscription-billed CI auth — the catalog overstated complexity	Anthropic Claude Code documents claude setup-token as the supported headless auth path; it produces CLAUDE_CODE_OAUTH_TOKEN suitable for setEnvVars in a CF Sandbox. Cloudflare ships an official maintained template (npm create cloudflare@latest -- ams-audit-worker --template=cloudflare/sandbox-sdk/examples/claude-code) where Claude Code is preinstalled in the Sandbox container image. The catalog's "operationally non-trivial" CI auth caveat and "ToS gray area" note are both overstated and want softening on next edit. Phase 0 spike work is entirely Borrow-shaped, not Build.
L	Learning		5	5	strong	When operator names a generalization, the runtime usually saved is bigger than the immediate target	Initial framing was project-local (audit migration). Generalization sat one inference away (reusable substrate for any spawned-agent-session task in any project). Pattern: when scoping work that calls existing primitives in new ways, ask whether the new call site reveals an unwritten primitive at one layer up. Vodka architecture rewards this question.
